measure_name,datum,county_id,state_id,state_name,first_year,last_year,footnotes,sources
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",2230,1039,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",900,1041,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",5700,1043,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",3750,1045,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",4060,1047,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",5060,1049,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",5640,1051,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",2310,1053,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",7050,1055,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",980,1057,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",2210,1059,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",1710,1061,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",700,1063,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",1370,1065,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",1180,1067,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",8310,1069,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",3730,1071,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",46840,1073,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",830,1075,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",7170,1077,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",1840,1079,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",16210,1081,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",4690,1083,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",800,1085,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",1950,1087,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",24760,1089,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",1570,1091,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",1720,1093,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",6660,1095,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",32110,1097,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",1440,1099,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",19980,1101,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",7350,1103,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",940,1105,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",1290,1107,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",3780,1109,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",1380,1111,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",5130,1113,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",5270,1115,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",10170,1117,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",1510,1119,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",5930,1121,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",2570,1123,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",20650,1125,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",4270,1127,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",1020,1129,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",810,1131,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",1400,1133,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, aged 13-44",351220,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",890,1001,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",2860,1003,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",340,1005,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",270,1007,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",820,1009,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",140,1011,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",300,1013,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",1760,1015,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",450,1017,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",370,1019,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",610,1021,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",190,1023,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",400,1025,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",210,1027,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",220,1029,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",770,1031,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",760,1033,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",180,1035,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",140,1037,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",510,1039,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",200,1041,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",1160,1043,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",700,1045,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",700,1047,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",1050,1049,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",1180,1051,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",540,1053,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",1470,1055,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",220,1057,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",450,1059,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",370,1061,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",120,1063,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",240,1065,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",230,1067,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",1520,1069,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",730,1071,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",9840,1073,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",200,1075,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",1480,1077,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",420,1079,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",3140,1081,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",1350,1083,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",150,1085,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",430,1087,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",5410,1089,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",290,1091,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",390,1093,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",1350,1095,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
"No. of women who likely need public support for contraceptive services and supplies, younger than 20",6360,1097,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>"
