State,Total publicly funded clinics,Number of federally qualified health centers,Number of health department clinics,Number of hospital-based clinics,Number of Planned Parenthood clinics,Number of other clinics,Total Title X-funded clinics,Number of federally qualified health centers with Title X funding,Number of health department clinics with Title X funding,Number of hospital-based clinics with Title X funding,Number of Planned Parenthood clinics with Title X funding,Number of other clinics with Title X funding,Total number of female contraceptive clients served at publicly funded clinics,Number of female contraceptive clients served at federally qualified health centers,Number of female contraceptive clients served at health department clinics,Number of female contraceptive clients served at hospital-based clinics,Number of female contraceptive clients served at Planned Parenthood clinics,Number of female contraceptive clients served at other clinics,Total number of female contraceptive clients served at Title X-funded clinics,Number of female contraceptive clients served at Title X-funded federally qualified health centers,Number of female contraceptive clients served at Title X-funded health department clinics,Number of female contraceptive clients served at Title X-funded hospital-based clinics,Number of female contraceptive clients served at Title X-funded Planned Parenthood clinics,Number of female contraceptive clients served at Title X-funded other clinics
New York,388,142,38,109,75,24,180,24,37,28,73,18,436080,83940,31920,99780,196590,23850,318800,25830,30320,55660,186220,20770
North Carolina,205,76,110,7,9,3,118,6,109,0,3,0,164450,12670,125660,6520,17980,1620,133160,3030,125150,0,4990,0
North Dakota,38,9,17,1,0,11,18,0,16,0,0,2,18580,610,10980,20,0,6960,13540,0,10940,0,0,2600
Ohio,181,68,39,18,35,21,76,5,21,3,27,20,156880,18260,18440,18050,81950,20190,97040,1890,12170,2110,60890,19970
Oklahoma,173,19,91,4,9,50,102,0,91,1,2,8,109800,2500,60030,2650,17580,27030,72350,0,60030,50,5700,6570
Oregon,166,44,84,7,16,15,92,8,80,0,4,0,131620,8270,46010,12770,57840,6720,68160,1890,45020,0,21260,0
Pennsylvania,278,99,8,56,42,73,212,46,8,46,41,71,263390,32000,6100,66180,100510,58600,233240,16180,6100,53830,99000,58130
Rhode Island,22,13,0,1,1,7,18,12,0,0,1,5,23070,16740,0,1500,2160,2680,21340,16560,0,0,2160,2620
South Carolina,161,87,67,2,2,3,68,1,67,0,0,0,110060,10100,91200,4430,2420,1910,91390,190,91200,0,0,0
South Dakota,85,30,26,3,2,24,47,8,26,3,0,10,23070,3580,3030,160,1380,14910,10230,2710,3030,160,0,4330
Tennessee,214,67,120,5,3,19,123,0,119,0,3,1,87740,6940,64020,4070,7820,4900,72800,0,64000,0,7820,980
Texas,409,144,65,41,75,84,180,36,28,28,37,51,431760,49940,40610,48250,183640,109330,251600,20290,21890,41120,76770,91540
Utah,73,26,23,5,9,10,19,1,1,2,7,8,56390,4230,2680,1480,46810,1190,37690,10,240,40,36920,470
Vermont,42,28,0,1,12,1,8,0,0,0,8,0,17150,2080,0,580,14480,10,6320,0,0,0,6320,0
Virginia,200,56,132,1,9,2,135,4,131,0,0,0,95060,8210,73970,810,11160,910,75960,2030,73930,0,0,0
Washington,215,108,26,9,39,33,72,11,26,1,26,8,162130,26410,19140,2920,104980,8680,107570,5000,19140,110,78450,4880
West Virginia,154,67,50,9,1,27,149,63,50,9,1,26,47940,15390,22680,1400,700,7780,46450,14040,22680,1400,700,7640
Wisconsin,121,33,16,3,26,43,17,0,1,0,9,7,114280,7990,8580,4250,66860,26600,53230,0,30,0,42030,11170
Wyoming,35,9,9,0,1,16,19,1,4,0,0,14,15690,3170,3860,0,1190,7480,11910,1740,3120,0,0,7050
